"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"200604","brazil","cumu",468361,100537.743710775,-0.239411201341568,"2006","04"
"200604","brazil","new",246,52.8060298633973,-0.239411201341568,"2006","04"
"200605","brazil","cumu",468607,100590.549740638,-0.0280501502558919,"2006","05"
"200605","brazil","new",246,52.8060298633973,-0.0280501502558919,"2006","05"
"200606","brazil","cumu",469659,100816.370648835,0.0218850414621835,"2006","06"
"200606","brazil","new",1052,225.820908196317,0.0218850414621835,"2006","06"
"200607","brazil","new",3743,803.467356823969,0.0643826690292419,"2006","07"
"200607","brazil","cumu",473402,101619.838005659,0.0643826690292419,"2006","07"
"200608","brazil","cumu",495321,106324.941129951,0.113588192115683,"2006","08"
"200608","brazil","new",21919,4705.1031242919,0.113588192115683,"2006","08"
"200609","brazil","new",26944,5783.76288064788,-0.302758899783964,"2006","09"
"200609","brazil","cumu",522265,112108.704010598,-0.302758899783964,"2006","09"
"200610","brazil","cumu",531475,114085.710250606,-0.429740605763006,"2006","10"
"200610","brazil","new",9210,1977.00624000768,-0.429740605763006,"2006","10"
"200611","brazil","cumu",538631,115621.80760712,-0.364601541853019,"2006","11"
"200611","brazil","new",7156,1536.09735651411,-0.364601541853019,"2006","11"
"200612","brazil","new",3260,699.787225019006,-0.537871062685451,"2006","12"
"200612","brazil","cumu",541891,116321.594832139,-0.537871062685451,"2006","12"
"200701","brazil","new",494,106.041377042757,-0.823154457464575,"2007","01"
"200701","brazil","cumu",542385,116427.636209182,-0.823154457464575,"2007","01"
"200702","brazil","new",1025,220.025124430822,-1.01712598647375,"2007","02"
"200702","brazil","cumu",543410,116647.661333613,-1.01712598647375,"2007","02"
"200703","brazil","new",1022,219.381148456878,-1.01569880035333,"2007","03"
"200703","brazil","cumu",544432,116867.04248207,-1.01569880035333,"2007","03"
"200704","brazil","cumu",544584,116899.670598083,-0.991649750738322,"2007","04"
"200704","brazil","new",152,32.6281160131561,-0.991649750738322,"2007","04"
"200705","brazil","new",261,56.0259097331167,-0.939156181023055,"2007","05"
"200705","brazil","cumu",544845,116955.696507816,-0.939156181023055,"2007","05"
"200706","brazil","cumu",545980,117199.334084625,-0.904679837232222,"2007","06"
"200706","brazil","new",1135,243.637576808764,-0.904679837232222,"2007","06"
"200707","brazil","new",2446,525.055077422235,-0.876630115018024,"2007","07"
"200707","brazil","cumu",548426,117724.389162047,-0.876630115018024,"2007","07"
"200708","brazil","new",23797,5108.23208398076,-0.986421880605616,"2007","08"
"200708","brazil","cumu",572223,122832.621246028,-0.986421880605616,"2007","08"
"200709","brazil","new",32481,6972.32786989028,-1.03409217768534,"2007","09"
"200709","brazil","cumu",604704,129804.949115918,-1.03409217768534,"2007","09"
"200710","brazil","new",11489,2466.21332154704,-0.920986849190123,"2007","10"
"200710","brazil","cumu",616193,132271.162437465,-0.920986849190123,"2007","10"
"200711","brazil","new",7000,1502.61060586903,-0.748395551604131,"2007","11"
"200711","brazil","cumu",623193,133773.773043334,-0.748395551604131,"2007","11"
"200712","brazil","new",1203,258.234365551492,-0.655374667445263,"2007","12"
"200712","brazil","cumu",624396,134032.007408886,-0.655374667445263,"2007","12"
"200801","brazil","new",316,67.8321359220876,-0.392145815134883,"2008","01"
"200801","brazil","cumu",624712,134099.839544808,-0.392145815134883,"2008","01"
"200802","brazil","new",169,36.277313198838,-0.21854009603603,"2008","02"
"200802","brazil","cumu",624881,134136.116858006,-0.21854009603603,"2008","02"
"200803","brazil","cumu",625359,134238.723696522,-0.0631009198152759,"2008","03"
"200803","brazil","new",478,102.606838515057,-0.0631009198152759,"2008","03"
"200804","brazil","cumu",625517,134272.639764483,-0.116699737577488,"2008","04"
"200804","brazil","new",158,33.9160679610438,-0.116699737577488,"2008","04"
"200805","brazil","cumu",625568,134283.58735604,0.0171737089961061,"2008","05"
"200805","brazil","new",51,10.9475915570458,0.0171737089961061,"2008","05"
"200806","brazil","cumu",625923,134359.791179623,0.134874576529871,"2008","06"
"200806","brazil","new",355,76.203823583358,0.134874576529871,"2008","06"
"200807","brazil","new",2766,593.745847976248,0.0740467442985658,"2008","07"
