"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"200706","brazil","new",365,78.3504101631709,-0.904679837232222,"2007","06"
"200707","brazil","cumu",378897,81333.5215331369,-0.876630115018024,"2007","07"
"200707","brazil","new",852,182.889176600059,-0.876630115018024,"2007","07"
"200708","brazil","cumu",397142,85249.9687480055,-0.986421880605616,"2007","08"
"200708","brazil","new",18245,3916.44721486864,-0.986421880605616,"2007","08"
"200709","brazil","new",41661,8942.89435015852,-1.03409217768534,"2007","09"
"200709","brazil","cumu",438803,94192.863098164,-1.03409217768534,"2007","09"
"200710","brazil","new",12111,2599.7310068114,-0.920986849190123,"2007","10"
"200710","brazil","cumu",450914,96792.5941049754,-0.920986849190123,"2007","10"
"200711","brazil","cumu",452612,97157.0845062276,-0.748395551604131,"2007","11"
"200711","brazil","new",1698,364.49040125223,-0.748395551604131,"2007","11"
"200712","brazil","new",96,20.6072311662038,-0.655374667445263,"2007","12"
"200712","brazil","cumu",452708,97177.6917373938,-0.655374667445263,"2007","12"
"200801","brazil","cumu",452726,97181.5555932375,-0.392145815134883,"2008","01"
"200801","brazil","new",18,3.86385584366322,-0.392145815134883,"2008","01"
"200802","brazil","new",57,12.2355435049335,-0.21854009603603,"2008","02"
"200802","brazil","cumu",452783,97193.7911367424,-0.21854009603603,"2008","02"
"200803","brazil","cumu",452929,97225.1313008077,-0.0631009198152759,"2008","03"
"200803","brazil","new",146,31.3401640652683,-0.0631009198152759,"2008","03"
"200804","brazil","cumu",453045,97250.0317051335,-0.116699737577488,"2008","04"
"200804","brazil","new",116,24.9004043258296,-0.116699737577488,"2008","04"
"200805","brazil","cumu",453073,97256.042147557,0.0171737089961061,"2008","05"
"200805","brazil","new",28,6.01044242347612,0.0171737089961061,"2008","05"
"200806","brazil","new",156,33.4867506450812,0.134874576529871,"2008","06"
"200806","brazil","cumu",453229,97289.5288982021,0.134874576529871,"2008","06"
"200807","brazil","new",936,200.920503870487,0.0740467442985658,"2008","07"
"200807","brazil","cumu",454165,97490.4494020726,0.0740467442985658,"2008","07"
"200808","brazil","new",9036,1939.65563351894,-0.0387170955927513,"2008","08"
"200808","brazil","cumu",463201,99430.1050355915,-0.0387170955927513,"2008","08"
"200809","brazil","cumu",468516,100571.015802762,-0.0979872738087368,"2008","09"
"200809","brazil","new",5315,1140.91076717056,-0.0979872738087368,"2008","09"
"200810","brazil","cumu",471816,101279.3893741,-0.43153088667326,"2008","10"
"200810","brazil","new",3300,708.373571338257,-0.43153088667326,"2008","10"
"200811","brazil","cumu",473449,101629.926962584,-0.484741756387784,"2008","11"
"200811","brazil","new",1633,350.537588483447,-0.484741756387784,"2008","11"
"200812","brazil","new",440,94.4498095117676,-0.347686429777886,"2008","12"
"200812","brazil","cumu",473889,101724.376772096,-0.347686429777886,"2008","12"
"200901","brazil","cumu",473915,101729.957897203,-0.219439825930972,"2009","01"
"200901","brazil","new",26,5.58112510751354,-0.219439825930972,"2009","01"
"200902","brazil","new",34,7.29839437136386,-0.18230381525415,"2009","02"
"200902","brazil","cumu",473949,101737.256291574,-0.18230381525415,"2009","02"
"200903","brazil","new",23,4.93714913356967,-0.0106281571219097,"2009","03"
"200903","brazil","cumu",473972,101742.193440708,-0.0106281571219097,"2009","03"
"200904","brazil","cumu",473986,101745.19866192,0.228951042076211,"2009","04"
"200904","brazil","new",14,3.00522121173806,0.228951042076211,"2009","04"
"200905","brazil","cumu",474046,101758.078181399,0.423864797774463,"2009","05"
"200905","brazil","new",60,12.8795194788774,0.423864797774463,"2009","05"
"200906","brazil","new",139,29.8375534593993,0.535202415718053,"2009","06"
"200906","brazil","cumu",474185,101787.915734858,0.535202415718053,"2009","06"
"200907","brazil","new",281,60.3190828927425,0.546184814304387,"2009","07"
"200907","brazil","cumu",474466,101848.234817751,0.546184814304387,"2009","07"
"200908","brazil","new",2358,506.165115519882,0.472483372398448,"2009","08"
"200908","brazil","cumu",476824,102354.399933271,0.472483372398448,"2009","08"
"200909","brazil","cumu",479044,102830.942153989,0.176600020575212,"2009","09"
"200909","brazil","new",2220,476.542220718464,0.176600020575212,"2009","09"
"200910","brazil","cumu",481331,103321.866504792,0.0543772436704042,"2009","10"
"200910","brazil","new",2287,490.92435080321,0.0543772436704042,"2009","10"
"200911","brazil","new",3436,737.567148823713,-0.242490253459651,"2009","11"
"200911","brazil","cumu",484767,104059.433653616,-0.242490253459651,"2009","11"
"200912","brazil","cumu",487432,104631.498977136,-0.288161169365903,"2009","12"
"200912","brazil","new",2665,572.065323520138,-0.288161169365903,"2009","12"
"201001","brazil","new",78,16.7433753225406,-0.475968600854574,"2010","01"
"201001","brazil","cumu",487510,104648.242352459,-0.475968600854574,"2010","01"
"201002","brazil","cumu",488295,104816.749398974,-0.808685351976276,"2010","02"
"201002","brazil","new",785,168.507046515313,-0.808685351976276,"2010","02"
"201003","brazil","cumu",488369,104832.634139665,-1.19388737603858,"2010","03"
"201003","brazil","new",74,15.8847406906155,-1.19388737603858,"2010","03"
"201004","brazil","new",67,14.3821300847464,-1.15543646301607,"2010","04"
"201004","brazil","cumu",488436,104847.016269749,-1.15543646301607,"2010","04"
"201005","brazil","new",53,11.3769088730084,-1.13065983050016,"2010","05"
"201005","brazil","cumu",488489,104858.393178622,-1.13065983050016,"2010","05"
"201006","brazil","new",238,51.088760599547,-1.10050046202707,"2010","06"
"201006","brazil","cumu",488727,104909.481939222,-1.10050046202707,"2010","06"
"201007","brazil","new",883,189.543594997479,-1.08578643362844,"2010","07"
"201007","brazil","cumu",489610,105099.025534219,-1.08578643362844,"2010","07"
"201008","brazil","cumu",508688,109194.283411186,-1.05608882364854,"2010","08"
